"scenario","year","b0","b1","b2","mu","fp","N","tenperc","h","ofs","badfit"
"FR_Eaton base",2011,-181.144340916149,2.40194522292779,-0.00783611771541477,153.26117537788,20.4739014084195,370.555760722889,143.02422467367,18.5067052701272,38.5950910080152,FALSE
"FR_Eaton base",2012,-201.999718887483,2.91510245782936,-0.0103010074914276,141.495987662143,17.8571123819356,1209.61033049263,132.567431471175,69.2644519678275,40.5664614665061,FALSE
"FR_Eaton base",2014,-122.598696579054,1.9427327461092,-0.00737052236675404,131.790709629497,21.1106667019954,4655.78274903733,121.2353762785,225.510571033867,54.2269367004401,FALSE
"FR_Eaton base",2015,-119.994169803542,1.88325847147398,-0.00704635174654177,133.633583676705,21.5908094161159,7252.54009995999,122.838178968647,343.476763384131,57.5733521438968,FALSE
"FR_Eaton base",2016,-107.10909291052,1.7315798571028,-0.00664796937629834,130.233741996189,22.2283168234658,6155.22211084155,119.119583584456,283.14786924256,58.2847241617479,FALSE
"FR_Eaton base",2017,-624.314404747738,8.40620372379856,-0.028110148913337,149.522575453348,10.8098460812524,666.731740864413,144.117652412722,63.0678124883233,24.2839498763544,FALSE
"FR_Eaton base",2018,-459.690384853629,6.53739438701502,-0.0230293345253768,141.936241792207,11.9429163134396,823.915950811169,135.964783635487,70.542146194772,27.1894763316807,FALSE
"FR_Eaton base",2019,-198.853703868691,3.02322778087087,-0.0112020963522392,134.940268580468,17.1238506516561,2813.18510996455,126.37834325464,167.985975480052,42.7739975140494,FALSE
"Fir_Butte base",1993,-286.166447879713,3.90207923878637,-0.0131390828365776,148.491309755787,15.8113356433633,536.157288218506,140.585641934105,34.6736693104129,32.8560724347226,FALSE
"Fir_Butte base",1994,-184.601268353285,2.68040515627656,-0.00960527769669355,139.527728448665,18.4925210072931,198.192595816684,130.281467945019,10.9589123164271,31.5755545533876,FALSE
"Fir_Butte base",1995,-285.101113108668,3.98065130654212,-0.0137034715192574,145.242440973739,15.4823108395343,809.212125178788,137.501285553972,53.444466479717,34.078634657679,FALSE
"Fir_Butte base",1996,-284.850479858565,3.77560318646466,-0.0123399551023298,152.982857520762,16.3152710616631,829.33460515579,144.825221989931,51.9770516299582,35.7862222836448,FALSE
"Fir_Butte base",1997,-406.838654225798,5.74040806317781,-0.020051125025366,143.144288809625,12.799167152864,693.506467327761,136.744705233193,55.4044887320446,28.2999091864968,FALSE
"Fir_Butte base",1998,-359.261625002061,4.58828771144987,-0.0145552391532914,157.616362848024,15.0224722527258,151.449534799795,150.105126721661,10.3086710175407,25.320736405977,FALSE
"Fir_Butte base",1999,-329.270847216612,4.23980482372067,-0.0135037685205,156.985985700371,15.5963722031752,517.433328081031,149.187799598783,33.9239921763277,32.3093336579466,FALSE
"Fir_Butte base",2000,-388.416061210935,5.12197513247227,-0.0167195598749151,153.17314483131,14.0164703567784,649.635296900476,146.164909652921,47.3922248874929,30.3825676900038,FALSE
"Fir_Butte base",2003,-543.173327397755,7.43734967418436,-0.0252004250684155,147.563972710639,11.4168724777534,2927.53758499531,141.855536471763,262.199268810902,29.7316325739479,FALSE
"Fir_Butte base",2004,-199.403318882685,2.93290607091474,-0.0104957945813723,139.71815321729,17.6906350045829,4177.82586947118,130.872835714998,241.481052222172,45.7279301531081,FALSE
"Fir_Butte base",2005,-87.6366125937868,1.29054605124378,-0.0045812961282685,140.849446871659,26.7766906298925,675.185691062173,127.461101556713,25.7835359371757,53.2671994032396,FALSE
"Fir_Butte base",2006,-316.915276402707,4.52787361629977,-0.0159466416143876,141.969504482203,14.3521335303361,1256.80603245712,134.793437717035,89.5422364273424,33.5773360711554,FALSE
"Fir_Butte base",2007,-108.319790757095,1.61483212623431,-0.00579134689249124,139.417665373146,23.8155871835053,1629.99444474824,127.509871781393,69.9843571279017,54.1684427673563,FALSE
